"都府県
振興局","観測所
番号",種類,観測所名,カタカナ名,所在地,緯度,,経度,,"海面上の
高さ（ｍ）","観測開始
年月日"
,,,,,,度,分,度,分,,
栃木,41915,官,宇都宮,ウツノミヤ,宇都宮市明保野町　宇都宮地方気象台,36,32.9,139,52.1,119,平11.1.15
群馬,42900,雪,藤原,フジワラ,利根郡みなかみ町藤原字屋倉,36,51.8,139,3.5,700,平元.11.1
群馬,42905,雪,みなかみ,ミナカミ,利根郡みなかみ町幸知,36,48,138,59.5,531,平元.11.1
群馬,42910,雪,草津,クサツ,吾妻郡草津町草津,36,37,138,35.5,1223,平元.11.1
群馬,42915,官,前橋,マエバシ,前橋市昭和町　前橋地方気象台,36,24.3,139,3.6,112,平11.1.12
埼玉,43900,官,秩父,チチブ,秩父市上町　秩父特別地域気象観測所,35,59.4,139,4.4,232,平9.3.3
埼玉,43905,官,熊谷,クマガヤ,熊谷市桜町　熊谷地方気象台,36,9,139,22.8,30,平11.1.13
東京,44900,官,東京,トウキョウ,千代田区北の丸公園　東京管区気象台,35,41.5,139,45,25,平10.12.25
千葉,45900,官,銚子,チョウシ,銚子市川口町　銚子地方気象台,35,44.3,140,51.4,20,平23.4.1
千葉,45905,官,千葉,チバ,千葉市中央区中央港　千葉特別地域気象観測所,35,36.1,140,6.2,3,平22.10.1
神奈川,46900,官,横浜,ヨコハマ,横浜市中区山手町　横浜地方気象台,35,26.3,139,39.1,39,平11.1.14
長野,48900,雪,野沢温泉,ノザワオンセン,下高井郡野沢温泉村大字豊郷字南原,36,54.7,138,26.5,576,昭55.12.1
長野,48905,雪,信濃町,シナノマチ,上水内郡信濃町柏原字小丸山,36,48.5,138,11.8,685,昭56.11.1
長野,48910,雪,飯山,イイヤマ,飯山市大字飯山字大道東,36,52.5,138,22.5,313,昭58.10.14
長野,48915,雪,小谷,オタリ,北安曇郡小谷村大字中土,36,49.3,137,55.8,550,昭58.10.13
長野,48920,雪,白馬,ハクバ,北安曇郡白馬村北城,36,41.9,137,51.7,703,昭55.12.1
長野,48925,官,長野,ナガノ,長野市箱清水　長野地方気象台,36,39.7,138,11.5,418,平9.3.3
長野,48930,雪,大町,オオマチ,大町市大町,36,31.4,137,49.9,784,昭56.11.1
長野,48935,雪,菅平,スガダイラ,上田市菅平高原,36,31.9,138,19.5,1253,昭56.11.1
長野,48936,官,松本,マツモト,松本市沢村　松本特別地域気象観測所,36,14.8,137,58.2,610,平19.10.1
長野,48937,官,諏訪,スワ,諏訪市湖岸通り　諏訪特別地域気象観測所,36,2.7,138,6.5,760,平10.12.25
長野,48938,官,軽井沢,カルイザワ,北佐久郡軽井沢町大字追分　軽井沢特別地域気象観測所,36,20.5,138,32.8,999,平21.10.1
長野,48940,雪,開田高原,カイダコウゲン,木曽郡木曽町開田高原西野,35,56.3,137,36.1,1130,平3.12.1
長野,48945,官,飯田,イイダ,飯田市高羽町　飯田特別地域気象観測所,35,31.4,137,49.3,516,平18.10.1
山梨,49900,官,甲府,コウフ,甲府市飯田　甲府地方気象台,35,40,138,33.2,273,平10.12.26
山梨,49905,官,河口湖,カワグチコ,南都留郡富士河口湖町船津　河口湖特別地域気象観測所,35,30,138,45.6,860,平15.10.31
愛知,51900,官,名古屋,ナゴヤ,名古屋市千種区日和町　名古屋地方気象台,35,10,136,57.9,51,平11.1.20
岐阜,52900,雪,河合,カワイ,飛騨市河合町角川,36,18.3,137,6,471,昭55.10.27
岐阜,52905,雪,神岡,カミオカ,飛騨市神岡町殿,36,19.3,137,18.5,455,昭58.10.12
岐阜,52910,雪,白川,シラカワ,大野郡白川村鳩谷字北長,36,16.4,136,53.8,478,昭58.10.11
岐阜,52913,官,高山,タカヤマ,高山市桐生町　高山特別地域気象観測所,36,9.3,137,15.2,560,平10.3.2
岐阜,52915,雪,長滝,ナガタキ,郡上市白鳥町長滝字三昧,35,55.4,136,49.9,430,昭56.11.1
岐阜,52920,雪,樽見,タルミ,本巣市根尾神所,35,38.3,136,36.1,190,昭55.10.31
岐阜,52935,雪,関ケ原,セキガハラ,不破郡関ケ原町関ケ原,35,21.8,136,28,130,平9.11.1
岐阜,52940,官,岐阜,ギフ,岐阜市加納二之丸　岐阜地方気象台,35,24,136,45.7,13,平11.1.21
三重,53900,官,津,ツ,津市島崎町　津地方気象台,34,44,136,31.1,3,平23.11.17
新潟,54900,官,相川,アイカワ,佐渡市相川三町目新浜町　相川特別地域気象観測所,38,1.7,138,14.4,6,平9.3.3
新潟,54905,雪,下関,シモセキ,岩船郡関川村下関,38,5.5,139,33.8,33,昭55.10.29
新潟,54907,官,新潟,ニイガタ,新潟市中央区美咲町　新潟地方気象台,37,53.6,139,1.1,4,平9.3.3
新潟,54910,雪,新津,ニイツ,新潟市秋葉区小戸上組,37,47.5,139,5.2,3,昭57.10.7
新潟,54915,雪,津川,ツガワ,東蒲原郡阿賀町津川,37,40.3,139,26.8,100,昭55.10.30
新潟,54920,雪,長岡,ナガオカ,長岡市緑町,37,27,138,49.4,23,昭55.11.4
新潟,54925,雪,柏崎,カシワザキ,柏崎市元城町,37,21.1,138,33.2,7,昭55.11.6
新潟,54930,雪,守門,スモン,魚沼市西名,37,20.8,139,2.6,222,昭55.11.4
新潟,54935,雪,小出,コイデ,魚沼市佐梨,37,13.6,138,57.8,98,昭55.11.5
新潟,54937,官,高田,タカダ,上越市大手町　高田特別地域気象観測所,37,6.4,138,14.8,13,平10.3.2
新潟,54940,雪,安塚,ヤスヅカ,上越市安塚区和田,37,6.4,138,27.4,126,昭55.11.6
新潟,54945,雪,十日町,トオカマチ,十日町市小泉字北原,37,8.6,138,43.6,170,昭55.11.6
